<<<<<<< HEAD
Esta vez si ; Venga ;3;3.3; A que va ;123151; Ya te digo 
Esta vez si ; Venga ;3;3.3; A que va ;123151; Ya te digo ;
Esta vez si ; Venga ;3;3.3; A que va ;123151; Ya te digo ;
=======
as;a;1;1.0;a;12;a;;;
ere;ere;2;2.0;gr;12;p;;;
a;b;2;1.0;c;3;d;;;
asf;asfa;3;2.0;gds;12312;sdg;;;
Esta vez si ; Venga ;3;3.3; A que va ;123151; Ya te digo ;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
>>>>>>> branch 'sprint3' of https://github.com/Iker-elorrieta/ADTeam3.git
Esta vez si ; Venga ;3;3.3; A que va ;123151; Ya te digo ;
Esta vez si ; Venga ;3;3.3; A que va ;123151; Ya te digo ;
